,mAP@50:95,mAP@50,mAP@75,mAP_s,mAP_m,mAP_l,delta_mAP@50:95,delta_mAP@50,delta_mAP@75,delta_mAP_s,delta_mAP_m,delta_mAP_l,Model Checkpoint,Parent Checkpoint,KNK scale,lambda kd,lambda score,loss weight
Key frame,0.483,0.807,,,,,,,,,,,models/kndetr_mot17_old.pth,,--,,,
,,,,,,,,,,,,,,,,,,
Skip 6 Combined,0.4571,0.7835,0.4794,0.0745,0.3295,0.5839,,,,,,,output/phase1_mot17_skip6_v2/03_434_758.pth,output/phase1_mot17_skip5_v2/03_445_766.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 7 K,0.4837,0.813,0.511,0.1083,0.3386,0.6193,-0.0307,-0.0299,-0.0338,-0.0339,-0.01,-0.0421,,,,,,
Skip 7 NK,0.4264,0.7529,0.4393,0.0419,0.3232,0.5417,,,,,,,output/phase1_mot17_skip7/03_426_753.pth,output/phase1_mot17_skip6_v2/03_434_758.pth,1.05,200,5,1:9
Skip 7 Combined,0.453,0.7831,0.4772,0.0744,0.3286,0.5772,,,,,,,output/phase1_mot17_skip7/03_426_753.pth,output/phase1_mot17_skip6_v2/03_434_758.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 8 K,0.4806,0.8018,0.5139,0.0734,0.3325,0.6201,-0.0333,-0.0328,-0.0361,-0.0065,-0.0128,-0.044,,,,,,
Skip 8 NK,0.4181,0.7374,0.4398,0.069,0.3127,0.5369,,,,,,,output/phase1_mot17_skip8/05_417_736.pth,--,1.05,200,5,1:9
Skip 8 Combined,0.4473,0.769,0.4778,0.0669,0.3197,0.5761,,,,,,,output/phase1_mot17_skip8/05_417_736.pth,--,,,,
,,,,,,,,,,,,,,,,,,
Skip 9 K,0.4855,0.8136,0.507,0.147,0.3314,0.6216,-0.0362,-0.0362,-0.0423,-0.0478,-0.0109,-0.0447,,,,,,
Skip 9 NK,0.4188,0.746,0.4199,0.0659,0.3201,0.5366,,,,,,,output/phase1_mot17_skip9/04_418_746.pth,--,1.05,200,5,1:9
Skip 9 Combined,0.4493,0.7774,0.4647,0.0992,0.3205,0.5769,,,,,,,output/phase1_mot17_skip9/04_418_746.pth,--,,,,
,,,,,,,,,,,,,,,,,,
Skip 10 K,0.4879,0.8143,0.5117,0.0996,0.3415,0.629,-0.0411,-0.0444,-0.0468,-0.0214,-0.0206,-0.0536,,,,,,
Skip 10 NK,0.4089,0.7272,0.4178,0.0684,0.3072,0.5257,,,,,,,output/phase1_mot17_skip10/02_409_727.pth,output/phase1_mot17_skip9/04_418_746.pth,1.04,200,5,1:9
Skip 10 Combined,0.4468,0.7699,0.4649,0.0782,0.3209,0.5754,,,,,,,output/phase1_mot17_skip10/02_409_727.pth,output/phase1_mot17_skip9/04_418_746.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 11 K,0.4872,0.8137,0.5238,0.0808,0.3474,0.6204,-0.0487,-0.0473,-0.0611,-0.0111,-0.0256,-0.0639,,,,,,
Skip 11 NK,0.3919,0.7177,0.3972,0.0686,0.3033,0.4964,,,,,,,output/phase1_mot17_skip11/06_391_717.pth,output/phase1_mot17_skip10/02_409_727.pth,1.04,200,5,1:9
Skip 11 Combined,0.4385,0.7664,0.4627,0.0697,0.3218,0.5565,,,,,,,output/phase1_mot17_skip11/06_391_717.pth,output/phase1_mot17_skip10/02_409_727.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 12 K,0.4802,0.8129,0.5097,0.0736,0.3369,0.6142,-0.0436,-0.045,-0.0533,-0.0166,-0.0169,-0.0569,,,,,,
Skip 12 NK,0.3937,0.7215,0.3954,0.0635,0.3083,0.4994,,,,,,,output/phase1_mot17_skip12/01_392_723.pth,output/phase1_mot17_skip11/06_391_717.pth,1.05,250,5,1:9
Skip 12 Combined,0.4366,0.7679,0.4564,0.057,0.32,0.5573,,,,,,,output/phase1_mot17_skip12/01_392_723.pth,output/phase1_mot17_skip11/06_391_717.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 13 K,0.4873,0.8166,0.5169,0.1216,0.3405,0.6248,-0.0505,-0.0509,-0.0595,-0.0317,-0.0273,-0.0631,,,,,,
Skip 13 NK,0.3912,0.7177,0.3968,0.0761,0.2908,0.5034,,,,,,,output/phase1_mot17_skip13/07_391_717.pth,output/phase1_mot17_skip12/01_392_723.pth,1.05,250,5,1:9
Skip 13 Combined,0.4368,0.7657,0.4574,0.0899,0.3132,0.5617,,,,,,,output/phase1_mot17_skip13/07_391_717.pth,output/phase1_mot17_skip12/01_392_723.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 14 K,0.4917,0.8139,0.5173,0.0882,0.3434,0.6259,-0.0532,-0.0509,-0.0648,-0.008,-0.0265,-0.0634,,,,,,
Skip 14 NK,0.3875,0.7159,0.3798,0.1024,0.2965,0.4965,,,,,,,output/phase1_mot17_skip14/04_387_715.pth,output/phase1_mot17_skip13/07_391_717.pth,1.05,300,5,1:9
Skip 14 Combined,0.4385,0.763,0.4525,0.0802,0.3169,0.5625,,,,,,,output/phase1_mot17_skip14/04_387_715.pth,output/phase1_mot17_skip13/07_391_717.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 15 K,0.4832,0.8115,0.5098,0.1417,0.3295,0.621,-0.0547,-0.0606,-0.0642,-0.0326,-0.0214,-0.0716,,,,,,
Skip 15 NK,0.3734,0.687,0.3764,0.0967,0.2927,0.4715,,,,,,,output/phase1_mot17_skip14/04_387_715.pth,output/phase1_mot17_skip13/07_391_717.pth,--,--,--,--
Skip 15 Combined,0.4285,0.7509,0.4456,0.1091,0.3081,0.5494,,,,,,,output/phase1_mot17_skip14/04_387_715.pth,output/phase1_mot17_skip13/07_391_717.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 16 K,0.4906,0.8901,0.5207,0.0959,0.3336,0.6352,-0.0613,-0.1354,-0.0856,-0.0298,-0.0221,-0.085,,,,,,
Skip 16 NK,0.3696,0.7013,0.3469,0.0471,0.2969,0.4604,,,,,,,output/phase1_mot17_skip16/05_369_701.pth,output/phase1_mot17_skip14/04_387_715.pth,1.04,300,5,1:9
Skip 16 Combined,0.4293,0.7547,0.4351,0.0661,0.3115,0.5502,,,,,,,output/phase1_mot17_skip16/05_369_701.pth,output/phase1_mot17_skip14/04_387_715.pth,,,,
,,,,,,,,,,,,,,,,,,
Skip 17 K,0.4856,0.8036,0.5154,0.0975,0.339,0.6306,-0.058,-0.0554,-0.0673,-0.0221,-0.0281,-0.0818,,,,,,
Skip 17 NK,0.3736,0.6883,0.3772,0.0705,0.2888,0.4718,,,,,,,output/phase1_mot17_skip16/05_369_701.pth,output/phase1_mot17_skip14/04_387_715.pth,1.05,300,5,1:9
Skip 17 Combined,0.4276,0.7482,0.4481,0.0754,0.3109,0.5488,,,,,,,output/phase1_mot17_skip16/05_369_701.pth,output/phase1_mot17_skip14/04_387_715.pth,,,,
,,,,,,,,,,,,,,,,,,
*lr changes from 1e-4 to 5e-5 after (including) skip 6,,,,,,,,,,,,,,,,,,
